"timestamp","beacon_id","device_id","is_present","lastseen","rssi","status"
"1682528041","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-52","completed"
"1682527320","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-20","completed"
"1682527170","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-37","completed"
"1682527000","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-18","completed"
"1682527315","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-65","completed"
"1682529926","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-24","completed"
"1682529009","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-60","completed"
"1682527235","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","false","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-93","ongoing"
"1682527751","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-65","completed"
"1682526989","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-66","completed"
"1682528337","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-25","completed"
"1682529820","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-50","completed"
"1682529605","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-56","completed"
"1682528046","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-58","completed"
"1682528662","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","false","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-81","ongoing"
"1682526964","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-33","completed"
"1682528833","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","false","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-75","ongoing"
"1682527621","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-62","completed"
"1682529244","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-49","completed"
"1682527536","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","5046452","true","FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055","'-15","completed"
"1682529525","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","5046452","true","E0702891-AE8E-8DC0-B0DE-3C666B326CA9:3138:0055","'-48","completed"
