beacon_id,timestamp,device_id,is_present,rssi,timestamp_datetime
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885542,5046452,True,-32,2023-04-19 13:25:42+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885615,5046452,True,-22,2023-04-19 13:26:55+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885734,5046452,True,-32,2023-04-19 13:28:54+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885855,5046452,True,-21,2023-04-19 13:30:55+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681885979,5046452,True,-32,2023-04-19 13:32:59+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886100,5046452,True,-32,2023-04-19 13:35:00+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886276,5046452,True,-32,2023-04-19 13:37:56+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886354,5046452,True,-32,2023-04-19 13:39:14+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886475,5046452,False,,2023-04-19 13:41:15+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886593,5046452,True,-21,2023-04-19 13:43:13+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886714,5046452,True,-21,2023-04-19 13:45:14+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886834,5046452,True,-32,2023-04-19 13:47:14+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681886952,5046452,True,-21,2023-04-19 13:49:12+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887084,5046452,True,-32,2023-04-19 13:51:24+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887196,5046452,True,-22,2023-04-19 13:53:16+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887317,5046452,True,-22,2023-04-19 13:55:17+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887443,5046452,True,-32,2023-04-19 13:57:23+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887555,5046452,True,-21,2023-04-19 13:59:15+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887675,5046452,True,-22,2023-04-19 14:01:15+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887798,5046452,True,-32,2023-04-19 14:03:18+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681887916,5046452,True,-23,2023-04-19 14:05:16+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888039,5046452,True,-33,2023-04-19 14:07:19+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888157,5046452,True,-22,2023-04-19 14:09:17+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888336,5046452,True,-22,2023-04-19 14:12:16+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888411,5046452,True,-32,2023-04-19 14:13:31+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888540,5046452,True,-32,2023-04-19 14:15:40+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888654,5046452,False,,2023-04-19 14:17:34+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888773,5046452,False,,2023-04-19 14:19:33+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681888950,5046452,True,-32,2023-04-19 14:22:30+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681889027,5046452,True,-21,2023-04-19 14:23:47+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681889143,5046452,True,-32,2023-04-19 14:25:43+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681889264,5046452,True,-32,2023-04-19 14:27:44+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681889442,5046452,True,-32,2023-04-19 14:30:42+07:00
FFFFFFFF-0D6C-CF10-48B9-55AAB8167ABB:F363:0055,1681889523,5046452,True,-23,2023-04-19 14:32:03+07:00
